practice_name,address,city,state,zip,medicare_date,phone_number
VCPHCS XV LLC,2919 E 4TH ST,Joplin,Missouri,64801-1625,1/1/2020,4177827966
MILWAUKEE HEALTH SERVICES SYSTEM LL,3440 OAKWOOD HILLS PKWY,Eau Claire,Wisconsin,54701-7698,1/1/2020,7152142525
COMMUNITY MEDICAL SERVICES MONTANA,4335 LAUREL ST,Anchorage,Alaska,99508-5338,1/1/2020,9077824750
NORTHEAST BEHAVIORAL HEALTH CORPORA,111 MIDDLETON RD,Danvers,Massachusetts,01923-4000,5/19/2020,9787772121
NORTHEAST BEHAVIORAL HEALTH CORPORA,298 WASHINGTON ST,Gloucester,Massachusetts,01930-4832,5/19/2020,9782830296
HARBORTOWN TREATMENT PLLC,1022 E MAIN ST,Benton Harbor,Michigan,49022-3036,1/1/2020,2699260015
STAR CENTER INC,13575 LESURE ST,Detroit,Michigan,48227-3131,1/1/2020,3134934410
SUNRISE DETOXIFICATION CENTER LLC,3185 BOUTWELL RD,Lake Worth Beach,Florida,33461-2610,5/4/2023,5615330074
SUCCESSFUL ALTERNATIVES FOR ADDICT,1628 BROADWAY ST,Vallejo,California,94590-2405,1/1/2020,7076498300
MISSION TREATMENT CENTERS INC,1536 N BOULDER HWY,Henderson,Nevada,89011-4120,1/1/2020,7025588600
LEXINGTON CENTER FOR RECOVERY INC,41 PAGE PARK DR,Poughkeepsie,New York,12603-7500,1/1/2020,8454862850x2010
ORTC LLC,155 NE REVERE AVE,Bend,Oregon,97701-4147,1/1/2020,5416174544
"GLASS HEALTH PROGRAMS, INC",817 N CALVERT ST,Baltimore,Maryland,21202-3705,8/17/2022,4432906424
COMMUNITY MEDICAL SERVICES ARIZONA,440 N CAMINO MERCADO,Casa Grande,Arizona,85122-5750,1/1/2020,5204247390
OMNIS HEALTH LIFE,2200 GARRISON BLVD,Baltimore,Maryland,21216-2692,1/1/2020,2402045594x1000
"JOHN BROOKS RECOVERY CENTER, A NEW",1931 BACHARACH BLVD,Atlantic City,New Jersey,08401-3001,1/1/2020,6093452020x1000
"JOHN BROOKS RECOVERY CENTER, A NEW",660 BLACK HORSE PIKE,Pleasantville,New Jersey,08232-2360,1/1/2020,6093452020x6133
HARBOR SPRINGS COUNSELING SERVICES,1790 MULKEY RD,Austell,Georgia,30106-1122,4/6/2020,7706939388
"FINCH CLINIC, PLLC",1105 MEMORIAL DR,Denison,Texas,75020-2043,5/29/2023,9033370208
"FINCH CLINIC, PLLC",4527 STONEWALL ST,Greenville,Texas,75401-5951,5/29/2023,9034943400
"OCTOBER ROAD, INC.",119 TUNNEL RD,Asheville,North Carolina,28805-1800,8/3/2021,8283501000
FOUR CORNERS COMMUNITY BEHAVIORAL H,77 S 600 E,Price,Utah,84501-3174,6/10/2020,4356377200
BHG LXXV LLC,1910 HASKELL AVE,Lawrence,Kansas,66046-3296,11/9/2021,7858564357
NORTHERN MICHIGAN ABUSE SRVCS INC,2136 W M 32,Gaylord,Michigan,49735-9282,1/1/2020,9897321791
"DE NOVO SERVICES, LLC",339 E 3900 S,Salt Lake City,Utah,84107-1978,1/1/2020,8013470370
"BHG XXVIII, LLC",1639 BRUCE SMITH PKWY,West Plains,Missouri,65775-7691,1/1/2020,4172556441
HICKORY METRO TREATMENT CENTER,1152 LENOIR RHYNE BLVD SE,Hickory,North Carolina,28602-5168,1/1/2020,8284851320
MORSE CLINIC OF NORTH RALEIGH PC,3209 GRESHAM LAKE RD,Raleigh,North Carolina,27615-4131,1/1/2020,9199775993
"SOFT LANDING INTERVENTIONS, LLC",229 N HAMMES AVE,Joliet,Illinois,60435-8100,9/9/2021,7797073590
BRICK CITY MEDICAL LLC,43 PROGRESS ST,Union,New Jersey,07083-8114,5/5/2021,9082588765x100
FAMILY GUIDANCE CENTERS INC,727 BROADWAY ST,Quincy,Illinois,62301-2708,4/1/2020,2176174097
CROSSROADS TREATMENT CENTER OF NORT,1974 WALTON NICHOLSON PIKE,Independence,Kentucky,41051-7906,1/1/2020,8008056989
BAYMARK HEALTH SERVICES OF WEST VIR,53 DON KNOTTS BLVD,Morgantown,West Virginia,26508-6838,1/1/2020,3042840025
DR. MIRIAM & SHELDON G. ADELSON CLI,3661 S MARYLAND PKWY,Las Vegas,Nevada,89169-3005,1/1/2020,7027357900
INTENSIVE TREATMENT SYSTEMS,4136 N 75TH AVE,Phoenix,Arizona,85033-3100,1/1/2020,6232471234
INTENSIVE TREATMENT SYSTEMS LLC,36375 N GANTZEL RD,San Tan Valley,Arizona,85140-7334,1/1/2020,6029960110
"MARTINSVILLE TREATMENT SERVICES, LL",8500 AL PHILPOTT HWY,Martinsville,Virginia,24112-1495,12/14/2022,2762269925
LANCASTER TREATMENT SPECIALISTS,977 N MAIN ST,Lancaster,South Carolina,29720-2188,1/9/2023,8037457001
RISAT LLC,66 PAVILION AVE,Providence,Rhode Island,02905-1522,1/1/2020,4014619110
"BI-VALLEY MEDICAL CLINIC, INC.",310 HARRIS AVE,Sacramento,California,95823-2627,1/1/2020,9166496793
"SOUTHSIDE MEDICAL CENTER, INC.",1100 CLEVELAND AVE,East Point,Georgia,30344-3602,1/1/2020,4046271385
"ATS OF NORTH CAROLINA, LLC",1700 E ASH ST,Goldsboro,North Carolina,27530-4097,1/1/2020,9195839329
"ATS OF NORTH CAROLINA, LLC",1700 E ASH ST,Goldsboro,North Carolina,27530-4097,1/1/2020,9195839329
"ATS OF NORTH CAROLINA, LLC",1700 E ASH ST,Goldsboro,North Carolina,27530-4097,1/1/2020,9195839329
"ATS OF NORTH CAROLINA, LLC",1700 E ASH ST,Goldsboro,North Carolina,27530-4097,1/1/2020,9195839329
CHARLOTTE TREATMENT CENTER,3315 WILKINSON BLVD,Charlotte,North Carolina,28208-5631,1/1/2020,7046970044
MILWAUKEE HEALTH SERVICES SYSTEM LL,4800 S 10TH ST,Milwaukee,Wisconsin,53221-2412,1/1/2020,4147449052
"HUNTINGTON TREATMENT CENTER, LLC",135 4TH AVE,Huntington,West Virginia,25701-1219,1/1/2020,3045255691
THW GROUP LLC,7900 FRANKFORD AVE,Philadelphia,Pennsylvania,19136,12/31/2021,2153353520
"PINNACLE TREATMENT CENTERS NJ-I, LL",2001 ROUTE 37 E,Toms River,New Jersey,08753-7168,1/1/2020,7322889322
"JK2C, LLC",312 ACADEMY ST S,Ahoskie,North Carolina,27910-3200,1/14/2020,7578483478
"BHG LXX, LLC",196 COUNTY ROAD 85,Stevenson,Alabama,35772-5522,12/1/2020,2564372728
DENVER RECOVERY GROUP LLC,8790 W COLFAX AVE,Lakewood,Colorado,80215-4025,1/1/2020,7207508137
EVA MAE RECOVERY HOPE INC,10723 S HALSTED ST,Chicago,Illinois,60628-3107,1/1/2020,7739418068
DISCOVERY HOUSE - UC INC,714 S STATE ST,Orem,Utah,84058-6366,1/1/2020,8014266565
COMPREHENSIVE HEALTH AND ATTITUDE,173 S KUKUI ST,Honolulu,Hawaii,96813-2320,1/1/2020,8084264515
CAP QUALITY CARE,1 DELTA DR,Westbrook,Maine,04092-4745,1/1/2020,2078567227x318
CRC HEALTH OREGON LLC,10763 SW GREENBURG RD,Tigard,Oregon,97223-5492,1/1/2020,5036848159
OPERATION PAR INC,"535 PINE ISLAND RD, STE M",N Ft Myers,Florida,33903-3700,1/1/2020,2396567702
"CAP OF DOWNERS GROVE, INC",4954 MAIN ST,Downers Grove,Illinois,60515-3611,3/15/2020,6308100186
HARTFORD DISPENSARY,1098 FARMINGTON AVE,Bristol,Connecticut,06010-4705,1/1/2020,8605896433
HARTFORD DISPENSARY,12-14 AND 16-18 WESTON STREET,Hartford,Connecticut,06120-1504,1/1/2020,8605275100
HARTFORD DISPENSARY,140 COMMERCIAL BLVD,Torrington,Connecticut,06790-3098,1/1/2020,8604828796
HARTFORD DISPENSARY,335 BROAD ST,Manchester,Connecticut,06040-4036,1/1/2020,8606433210
HARTFORD DISPENSARY,345 MAIN ST,Hartford,Connecticut,06106-1824,1/1/2020,8605252181
HARTFORD DISPENSARY,54-56 BOSTON POST ROAD,Willimantic,Connecticut,06226-2644,1/1/2020,8604567990
HARTFORD DISPENSARY,772 W THAMES ST,Norwich,Connecticut,06360-7070,1/1/2020,8608860446
HARTFORD DISPENSARY,931 BANK ST,New London,Connecticut,06320-2702,1/1/2020,8604472233
HUMANISTIC ALTERNATIVES TO ADDICTIO,20094 MISSION BLVD,Hayward,California,94541-1237,1/1/2020,5107279755
OPERATION PAR INC,1245 KASS CIR,Spring Hill,Florida,34606-4308,1/1/2020,3526665709
TAVARUA MEDICAL REHABILITATION SERV,474 S CITRUS AVE,Azusa,California,91702-4733,1/1/2020,6268589500
ADDICTION RESEARCH AND TREATMENT IN,795 WILLOW RD,Menlo Park,California,94025-2539,1/1/2020,6503241470
FAMILY GUIDANCE CENTERS INC,2400 GLENWOOD AVE,Joliet,Illinois,60435-5474,4/1/2020,2246597030
RECOVERY SERVICES OF NEW MEXICO,1107 S ATKINSON AVE,Roswell,New Mexico,88203-7154,5/23/2020,5755784826
CENTER FOR BEHAVIORAL HEALTH LOUISI,1910 RUFFIN DR,Monroe,Louisiana,71202-3616,1/1/2020,3183409596
"BHG XXIII, LLC",630 BROADMOR ST,Murfreesboro,Tennessee,37129-2787,11/23/2021,6152816844
MERAKEY PARKSIDE RECOVERY,1745 N 4TH ST,Philadelphia,Pennsylvania,19122-3008,8/7/2020,2158363131
WCHS INC,1021 W LA CADENA DR,Riverside,California,92501-1413,1/1/2020,9517848010
EAST BALTIMORE COMMUNITY CORPORATIO,301 N GAY ST,Baltimore,Maryland,21202-4831,8/7/2020,4107523500
BAART BEHAVIORAL HEALTH SERVICES IN,15229 AMAR RD,La Puente,California,91744-2066,1/1/2020,6268555090
PORT HEALTH SERVICES,501 PALADIN DR,Greenville,North Carolina,27834-7826,1/1/2020,2523535346
"EVANSVILLE TREATMENT CENTER, LLC",1510 W FRANKLIN ST,Evansville,Indiana,47710-1032,1/1/2020,8124240223
AEGIS TREATMENT CENTERS LLC,14240 IMPERIAL HWY,La Mirada,California,90638-1940,1/1/2020,5629461587
ULTIMATE TREATMENT CENTER,3655 WINCHESTER AVE,Ashland,Kentucky,41101-2065,1/1/2020,6063934632
BY GRACE,1002 E PATAPSCO AVE,Brooklyn,Maryland,21225-2229,3/18/2021,4103553711
ADDICTION RESEARCH AND TREATMENT IN,1124 INTERNATIONAL BLVD,Oakland,California,94606-4331,1/1/2020,5105330800
GREENSBORO TREATMENT CENTER,207 S WESTGATE DR,Greensboro,North Carolina,27407-1675,1/1/2020,3362739611
AMAZING GRACE CENTER,802 CLARE AVE,Portsmouth,Ohio,45662-2583,3/1/2020,7408768449x222
"BELAIR HEALTH SOLUTIONS, INC.",4825 BELAIR RD,Baltimore,Maryland,21206-5731,6/11/2020,4105090205
"ARS OF VIRGINIA, LLC",210 FRONT ROYAL PIKE,Winchester,Virginia,22602-7313,1/1/2020,5405458794
WESTERN PACIFIC RE-HAB,11902 ROSECRANS AVE,Norwalk,California,90650-4197,1/1/2020,5629297188
UNIVERSITY OF CINCINNATI PHYSICIANS,3131 HARVEY AVE,Cincinnati,Ohio,45229-3000,1/1/2020,5135858227
CONCERTED CARE GROUP FREDERICK LLC,300B SCHOLLS LN,Frederick,Maryland,21701-6380,1/1/2020,2408157300
COMMUNITY MEDICAL SERVICES MONTANA,901 28TH ST S,Fargo,North Dakota,58103-8743,1/1/2020,7014041100
WESTERN WAKE TREATMENT CENTER,2172 N SALEM ST,Apex,North Carolina,27523-0003,1/1/2020,9196294360
THE LIFE CHANGE CENTER,1755 SULLIVAN LN,Sparks,Nevada,89431-2815,1/1/2020,7754995534
SUNRISE TREATMENT CENTER,1718 CENTRAL PKWY,Cincinnati,Ohio,45214-2355,1/1/2020,5134672825
"SUNRISE TREATMENT CENTER, LLC",1130 GARBRY RD,Piqua,Ohio,45356-8217,1/1/2020,5139414999
MUNCIE COMPREHENSIVE TREATMENT CENT,3640 BRIARWOOD LN,Muncie,Indiana,47304-6375,10/28/2020,3174759066
"TX OTP, LLC",2100 N HWY 360,Grand Prairie,Texas,75050-1040,3/4/2022,4694607090
CONNECTICUT COUNSELING CENTERS INC,60 BEAVER BROOK RD,Danbury,Connecticut,06810-6239,1/1/2020,2037437574
BAART BEHAVIORAL HEALTH SERVICES IN,1646 S COURT ST,Visalia,California,93277-4962,1/1/2020,5596258890
CALIFORNIA TREATMENT SERVICES LLC,2101 E 1ST ST,Santa Ana,California,92705-4007,1/1/2020,7145423581
ARS OF SOMERS POINT LLC,1409 CANTILLON BLVD,Mays Landing,New Jersey,08330-2023,1/1/2020,6096018611
METRO TREATMENT OF MINNESOTA LP,2311 WOODBRIDGE ST,Roseville,Minnesota,55113-4710,1/1/2020,6517730832
CODAC INC,349 HUNTINGTON AVE,Providence,Rhode Island,02909-3005,3/1/2020,4019421450
"RADIUS FOUNDATION, INC",11952 S HARLEM AVE,Palos Heights,Illinois,60463-1386,12/1/2021,7089230800
WCHS INC,4305 E TRENT AVE,Spokane,Washington,99212-2339,1/1/2020,5097953133
CENTER FOR BEHAVIORAL HEALTH LAS VE,3050 E DESERT INN RD,Las Vegas,Nevada,89121-3872,1/1/2020,7027960660
MAINTENANCE AND RECOVERY SERVICES I,1110 W WILLIAM CANNON DR,Austin,Texas,78745-3188,1/1/2020,5128992100
"METRO TREATMENT OF FLORIDA, LP","3574 US 1 S, STE 101",St Augustine,Florida,32086-6467,1/1/2020,9042177161
"ECD PROGRAM, INC",808 DOWNTOWNER LOOP W,Mobile,Alabama,36609-5519,1/20/2020,2513419504
CONNECTICUT COUNSELING CENTERS INC,50 BROOKSIDE RD,Waterbury,Connecticut,06708-1402,1/1/2020,2035687466x409
BAY COUNTY HEALTHCARE SERVICES LLC,1530 HARRISON AVE,Panama City,Florida,32405-4619,11/1/2021,8507695695
SUNRISE TREATMENT CENTER,247 CIC BLVD.,West Union,Ohio,45693,1/1/2020,5139414999
"WCHS, INC.",1330 N INDIAN CANYON DR,Palm Springs,California,92262-4880,1/1/2020,7603229065
ZEPF CENTER,2005 ASHLAND AVE,Toledo,Ohio,43620-1703,1/1/2020,4198417701
"COMMUNITY HEALTH RESOURCES, INC.",153 HAZARD AVE,Enfield,Connecticut,06082-4592,1/1/2020,8602535020
"COMMUNITY HEALTH RESOURCES, INC.",391 POMFRET ST,Putnam,Connecticut,06260-1852,1/1/2020,8609634971
BAART BEHAVIORAL HEALTH SERVICES IN,1111 MARKET ST,San Francisco,California,94103-1509,1/1/2020,4158633883
WMRS INC,11604 BEDFORD ROAD,Cumberland,Maryland,21502-6805,1/1/2020,3017241144
CRC HEALTH OREGON LLC,777 MURPHY RD,Medford,Oregon,97504-8425,1/1/2020,5417722763
SPECIALIZED TREATMENT SERVICES INC,311 SPRUCE ST,Saint Paul,Minnesota,55101-2446,5/1/2020,6518886800
CENTER FOR BEHAVIORAL HEALTH KENTUC,1990 LOUISVILLE RD,Bowling Green,Kentucky,42101-1202,1/1/2020,2707822100
CROSSROADS TREATMENT CENTER OF DANV,1555 MEADOWVIEW DR,Danville,Virginia,24541-7352,1/1/2020,8008056989
NEW SEASON MENTOR,8785 MENTOR AVE,Mentor,Ohio,44060-6209,12/31/2020,4407016590
ARMS ACRES INC,21 OLD ROUTE 6,Carmel,New York,10512-2107,1/1/2020,8452255202
ADDICTION MEDICINE AND HEALTH ADVOC,928 MARKET ST,Philadelphia,Pennsylvania,19107-4226,11/7/2022,2159234202x104
A.R.E.B.A. CASRIEL INC DBA ACI-ADDI,589 ROCKAWAY AVE,Brooklyn,New York,11212-5624,7/1/2019,2122933000
REGENTS OF THE UNIVERSITY OF COLORA,1620 GAYLORD ST,Denver,Colorado,80206-1207,7/11/2020,3033885894
REGENTS OF THE UNIVERSITY OF COLORA,6303 WADSWORTH BYP,Arvada,Colorado,80003-4839,7/11/2020,3039357004
PATERSON COUNSELING CENTER INC,319-321 MAIN ST,Paterson,New Jersey,07505-1805,2/25/2020,9735238316x7222
WESTERN PACIFIC MED-CORP,4544 SAN FERNANDO RD,Glendale,California,91204-5015,1/1/2020,8189563737
WESTERN PACIFIC MED-CORP,14332 VICTORY BLVD,Van Nuys,California,91401-1944,1/1/2020,8189891996
TAVARUA HEALTH SERVICES,8207 WHITTIER BLVD,Pico Rivera,California,90660-2521,1/1/2020,5626950737
METRO TREATMENT OF ALABAMA LP,151 INDUSTRIAL DR,Birmingham,Alabama,35211-4445,1/1/2020,2059411799
BAYSIDE RECOVERY LLC,440 SOLOMONS ISLAND RD N,Prince Frederick,Maryland,20678-3941,6/18/2020,4434865680
SYMETRIA HEALTH OF TEXAS LLC,1651 ROCK PRAIRIE ROAD,College Station,Texas,77845-8652,7/1/2021,9795999580
VCPHCS XII LLC,7286 S YOSEMITE ST STE 125,Centennial,Colorado,80112-2209,1/1/2020,3038245866
"START TREATMENT & RECOVERY CENTERS,",119-121 WEST 124TH STREET,New York,New York,10027,1/1/2020,2129322676
CRC HEALTH TREATMENT CLINICS,213 MIDLAND BLVD,Shelbyville,Kentucky,40065-7791,1/1/2020,5026470154
CENTER FOR ALCOHOL & DRUG SERVICES,4230 11TH ST,Rock Island,Illinois,61201-6746,1/13/2020,3097884571
CROSSROADS TREATEMENT CENTER OF GRE,2706 N CHURCH ST,Greensboro,North Carolina,27405-3657,1/1/2020,8668669277
ALBUQUERQUE HEALTH SERVICES,112 MONROE ST NE,Albuquerque,New Mexico,87108-1247,6/25/2020,5052609917
ALBUQUERQUE HEALTH SERVICES,1209 ISLETA BLVD SW,Albuquerque,New Mexico,87105-4033,6/25/2020,5058731973
ALBUQUERQUE HEALTH SERVICES,1549 S SAINT FRANCIS DR,Santa Fe,New Mexico,87505-4039,6/25/2020,5058209970
ALBUQUERQUE HEALTH SERVICES,1558 STEPHANIE RD SE,Rio Rancho,New Mexico,87124-1560,6/25/2020,5058965517
ALBUQUERQUE HEALTH SERVICES,172 MONTANO RD NW,Albuquerque,New Mexico,87107-5030,6/25/2020,5053444427
ALBUQUERQUE HEALTH SERVICES,612 N PASEO DE ONATE,Espanola,New Mexico,87532-2963,6/25/2020,5057537844
CROSSROADS TREATMENT CENTER OF SUFF,1258 HOLLAND RD,Suffolk,Virginia,23434-6313,1/1/2020,8008056989
PENNSYLVANIA PSYCHIATRIC INSTITUTE,2501 N 3RD ST,Harrisburg,Pennsylvania,17110-1904,1/1/2021,7177824783
BHG LVII LLC,160 NARRAGANSETT AVE,Providence,Rhode Island,02907-3367,8/1/2020,4019414488
JEM TREATMENT INC,2424 WASHINGTON ST,Waukegan,Illinois,60085-5074,12/7/2022,8473367733
WALTER B JONES CENTER WOODSIDE,2577 W FIFTH ST,Greenville,North Carolina,27834-7813,11/6/2020,2528303426
MAN ALIVE INC,2117 MARYLAND AVE,Baltimore,Maryland,21218-5614,1/1/2020,4108374292
CHARLESTON TREATMENT CENTER,2157 GREENBRIER ST,Charleston,West Virginia,25311-9623,1/1/2020,3043445924
NEW ERA REHABILITATION CENTER INC,4675 MAIN STREET,Bridgeport,Connecticut,06606-1813,7/6/2021,2033440025
MEDMARK TREATMENT CENTERS-SACRAMENT,7240 E SOUTHGATE DR,Sacramento,California,95823-2627,1/1/2020,9163912020
AEGIS TREATMENT CENTERS LLC,1450 N LAKE AVE,Pasadena,California,91104-2388,1/1/2020,6267941161
TEXAS TREATMENT SERVICES LLC,700 HEMPHILL ST,Fort Worth,Texas,76104-3105,4/2/2020,8173340111
MORSE CLINIC OF ZEBULON PC,877 E GANNON AVE,Zebulon,North Carolina,27597-9445,1/1/2020,9192697343
"HAZELWOOD HEALTHCARE, PLLC",3271 GEORGIA RD,Franklin,North Carolina,28734-9603,2/7/2022,8285959000
MISSION TREATMENT CENTERS INC,948 W HEFNER ROAD,Oklahoma City,Oklahoma,73114-6927,1/1/2020,4052869533
"PINNACLE TREATMENT CENTERS OH-XVI,",8978 UNITED LN,Athens,Ohio,45701-3668,3/12/2021,7402744246
UNIVERSITY OF ARKANSAS FOR MEDICAL,4224 SHUFFIELD DRIVE,Little Rock,Arkansas,72205-7101,1/1/2020,5015268400
SUNRISE TREATMENT CENTER,1421 PARKER CT,Springfield,Ohio,45504-2855,1/1/2020,5139414999
ADDICTION RECOVERY INSTITUTE SOUTH,205 HALLENE RD,Warwick,Rhode Island,02886-2451,1/1/2020,4017374788
AEGIS TREATMENT CENTERS LLC,2055 SAVIERS RD,Oxnard,California,93033-3608,1/1/2020,8054832253
AEGIS TREATMENT CENTERS LLC,3707 E SHIELDS AVE,Fresno,California,93726-7029,1/1/2020,5592299040
HICKORY METRO TREATMENT CENTER,1611 CASTLE HAYNE RD,Wilmington,North Carolina,28401-8859,1/1/2020,9102516644
"NORTHPOINTE COUNCIL, INC.",TROTT ACCESS CENTER,Niagara Falls,New York,14301-1201,10/16/2021,7162821228
"NEW MEXICO TREATMENT SERVICES, LLC",1227 N RAILROAD AVE,Espanola,New Mexico,87532-3147,2/9/2023,5057478187
"NEW MEXICO TREATMENT SERVICES, LLC",1264 RODEO RD,Santa Fe,New Mexico,87505-6816,2/9/2023,5059822129
"NEW MEXICO TREATMENT SERVICES, LLC",607 E APACHE ST,Farmington,New Mexico,87401-6925,2/9/2023,5053262012
DESERT TREATMENT CLINIC LLC,1546 W WARM SPRINGS RD,Henderson,Nevada,89014-4326,1/1/2020,7022480000
SERENITY HEALTH LLC,953 W PULASKI HIGHWAY,Elkton,Maryland,21921-4714,1/1/2020,4434856544
SUNSHINE TREATMENT INSTITUTE LLC,4821 E MCNICHOLS RD,Detroit,Michigan,48212-1730,3/7/2020,3133684600
"VCPHCS XX, LLC",2555 E WOOD ST,Paris,Tennessee,38242-7990,1/1/2020,7316414545
ADDICTION SERVICES AND PHARMACOTHER,210 E OLIN AVE,Madison,Wisconsin,53713-1434,4/2/2020,6088071428
ARS OF NEW JERSEY LLC,110 AMERICAN BLVD,Turnersville,New Jersey,08012-1767,5/28/2021,8563525999
"PINNACLE TREATMENT CENTERS OH-IX,",115 S REYNOLDS RD,Toledo,Ohio,43615-6958,1/1/2020,4197256631
"WALTON COUNTY TREATMENT CENTER, LLC",3543 HIGHWAY 81,Loganville,Georgia,30052-4336,3/1/2020,4045457279
CENTER FOR BEHAVIORAL HEALTH PA LLC,301 SMITH DRIVE,Cranberry Township,Pennsylvania,16066-4131,1/1/2020,7247792010
INDIANAPOLIS TREATMENT CENTER LLC,2626 E 46TH ST,Indianapolis,Indiana,46205-2373,1/1/2020,3174759066
AEGIS TREATMENT CENTERS LLC,125 W F ST,Ontario,California,91762-3201,1/1/2020,9099864550
AMERICAN ADDICTION TREATMENT SERVIC,1496 N BEALE RD,Marysville,California,95901-6205,1/24/2020,5307498640
"OCEAN MONMOUTH CARE, LLC",150 BRICK BLVD,Brick,New Jersey,08723-7182,1/1/2020,7324582180
"NEW JOURNEY, INC.",32 DEFENSE ST,Annapolis,Maryland,21401-3103,1/1/2020,4439497150
MCLEOD ADDICTIVE DISEASE CENTER INC,222 MORGANTON BLVD SW,Lenoir,North Carolina,28645-5219,1/4/2020,8286102740
BHG XXXI LLC,640 US HIGHWAY 51 BYP E,Dyersburg,Tennessee,38024-2067,1/1/2020,7312856535
PASSION OF MIND HEALING CENTER,14930 LAPLAISANCE RD,Monroe,Michigan,48161-3878,3/1/2020,7343445269
NEW SEASON RALEIGH,3911 NEW BERN AVE,Raleigh,North Carolina,27610-1332,1/1/2020,9199480300
SANTA ROSA TREATMENT PROGRAM INC,625 STEELE LN,Santa Rosa,California,95403-3127,1/1/2020,7075760818
SHARP,2440 CYLBURN AVENUE,Baltimore,Maryland,21215-5380,1/1/2021,4106019000
SINAI HOSP ADDICTIONS RECOVERY PROG,2440 CYLBURN AVE,Baltimore,Maryland,21215-5380,7/1/1966,4106019000
CENTRALIZED COMPREHENSIVE HUMAN SER,907 N BROAD ST,Philadelphia,Pennsylvania,19123-1013,1/1/2020,2152355520
WCHS INC,21851 84TH AVE S,Kent,Washington,98032-1958,1/1/2020,4256877082
CENTER FOR ADDICTIVE PROBLEMS INC,609 N WELLS ST,Chicago,Illinois,60654-3714,1/17/2020,3122660404
NORTH TEXAS ADDICTION COUNSELING,3539 NW JIM WRIGHT FWY,Fort Worth,Texas,76106-3201,1/1/2020,6822241441
DISCOVERY HOUSE BR INC,689 ODLIN RD,Bangor,Maine,04401-6709,1/1/2020,2079476800
NEW SEASON MORGANTON,145 W PARKER RD,Morganton,North Carolina,28655-4649,1/1/2020,8286080500
METRO TREATMENT OF NEW HAMPSHIRE LP,880 CENTRAL ST,Franklin,New Hampshire,03235-2040,1/1/2020,6036713215
"OHIO TREATMENT CENTER, LLC",2520 WALES AVE NW,Massillon,Ohio,44646-2398,3/20/2020,2342621112
SYMETRIA HEALTH OF TEXAS LLC,635 RAYFORD ROAD,Spring,Texas,77386-2796,7/1/2021,8328232640
BHG LVII LLC,985 PLAINFIELD ST,Johnston,Rhode Island,02919-6703,8/1/2020,4019460650
CHEROKEE INDIAN HOSPITAL AUTHORITY,149 CHEROKEE HOSPITAL LOOP,Cherokee,North Carolina,28719,7/27/2021,8284979163
RESOURCE CENTER FOR THE CHEMICALLY,124 HAMPTON HOUSE RD,Newton,New Jersey,07860-2804,1/10/2020,9733838880
"PINNACLE TREATMENT CENTERS OH-VII,",174 MIDWAY BLVD,Elyria,Ohio,44035-2786,8/22/2020,4407238997
CODAC INC,1052 PARK AVE,Cranston,Rhode Island,02910-3225,3/1/2020,4014615056
VOLUNTEER TREATMENT CENTER,2347 ROSSVILLE BLVD,Chattanooga,Tennessee,37408-2250,1/1/2020,4232653122
PUERTO RICAN ORGANIZATION TO,175 CENTRAL AVE,Albany,New York,12206-2937,1/1/2020,5187295659
"VCPHCS I, LLC",4539 WINCHESTER ROAD,Memphis,Tennessee,38118-5100,1/1/2020,9013751050
NEW DIRECTIONS HEALTHCARE LLC,306 W 11TH ST,Erie,Pennsylvania,16501-1705,1/1/2020,8142406216
"OKLAHOMA TREATMENT SERVICES, LLC",117 E RAY FINE BLVD,Roland,Oklahoma,74954-5198,3/26/2020,9184273344
"OKLAHOMA TREATMENT SERVICES, LLC",1613 SE 66TH ST,Oklahoma City,Oklahoma,73149-5203,3/26/2020,4056163366
"OKLAHOMA TREATMENT SERVICES, LLC",610 W HENSLEY BLVD,Bartlesville,Oklahoma,74003-2519,3/26/2020,9183376007
"OKLAHOMA TREATMENT SERVICES, LLC",721 S GEORGE NIGH EXPY,Mcalester,Oklahoma,74501-7400,3/26/2020,9184297650
"OKLAHOMA TREATMENT SERVICES, LLC",827 E HUBBARD RD,Ponca City,Oklahoma,74601-1156,3/26/2020,9182890270
"OKLAHOMA TREATMENT SERVICES, LLC",3445 S SHERIDAN RD,Tulsa,Oklahoma,74145-1105,3/26/2020,9186103366
ALT RECOVERY GROUP LLC,1141 MALL DR,Las Cruces,New Mexico,88011-8194,1/1/2020,5755220660
BAYMARK HEALTH SERVICES OF OHIO,749 STATE ROUTE 28,Milford,Ohio,45150-5046,10/1/2020,5132142094
BHG LVII LLC,82 POND ST,Pawtucket,Rhode Island,02860-4462,8/1/2020,4017271287
"BHG XLIX, LLC",176 CUDE LN,Madison,Tennessee,37115-2202,12/3/2021,6152816757
DISCOVERY HOUSE UTAH INC,449 E 2100 S,Salt Lake City,Utah,84115-2237,1/1/2020,8015962111
"START TREATMENT & RECOVERY CENTERS,",494 DUMONT AVE,Brooklyn,New York,11207-5017,1/1/2020,7183854000
ELDORADO COMMUNITY SERVICE CENTER,4023 MARINE AVE,Lawndale,California,90260-1840,2/12/2020,3106759555
SAN DIEGO TREATMENT SERVICES LLC,1155 THIRD AVE,Chula Vista,California,91911-3136,1/1/2020,6194988260
LIBERATION PROGRAMS INC,399 MILL HILL AVE,Bridgeport,Connecticut,06610-2865,1/1/2020,2036960024
